iter	RMSE
0	0.2258703541
1	0.2078754178
2	0.1918932201
3	0.1778058491
4	0.1653282823
5	0.154631102
6	0.145367029
7	0.1372892016
8	0.1304102503
9	0.124505922
10	0.1194716481
11	0.1152111058
12	0.1115808573
13	0.1084771672
14	0.1059464535
15	0.1038118689
16	0.1020124689
17	0.1005149706
18	0.09927492783
19	0.09828401748
20	0.09746259587
21	0.09677691654
22	0.09618176788
23	0.095735723
24	0.09530652701
25	0.09497877151
26	0.09467965126
27	0.09438555843
28	0.0941583716
29	0.09396710124
30	0.09371653667
31	0.09355906277
32	0.09339621209
33	0.09322761656
34	0.09308809386
35	0.09294674249
36	0.09284927106
37	0.09274983514
38	0.09262673279
39	0.09254436766
40	0.0924714207
41	0.09236003557
42	0.09224932199
43	0.09216832518
44	0.09204966946
45	0.09194834048
46	0.09184727848
47	0.09175112012
48	0.09166797845
49	0.0915394155
