iter	Passed	Remaining
0	1	97
1	6	153
2	10	158
3	13	159
4	15	140
5	19	144
6	24	152
7	28	149
8	32	149
9	37	148
10	40	145
11	44	142
12	48	138
13	52	136
14	57	135
15	61	131
16	66	129
17	70	126
18	75	123
19	77	116
20	82	113
21	87	110
22	91	107
23	93	100
24	97	97
25	102	94
26	107	91
27	112	88
28	117	84
29	122	81
30	127	78
31	132	74
32	138	71
33	143	67
34	148	63
35	152	59
36	157	55
37	161	51
38	166	46
39	171	42
40	175	38
41	180	34
42	185	30
43	190	25
44	194	21
45	199	17
46	204	13
47	208	8
48	213	4
49	219	0
